customer_id,signup_date,risk_tier,credit_score,email,phone,state,income_bracket
CUST_00000,2020-11-25,low,770,kcook@example.com,562.437.2693,TX,low
CUST_00001,2021-11-15,low,695,angela69@example.org,3539658399,MS,high
CUST_00002,2021-07-01,medium,772,dorothycombs@example.com,001-927-335-5705,PA,low
CUST_00003,2021-04-19,low,785,valeriewhitney@example.com,5895884663,CT,middle
CUST_00004,2022-09-08,low,792,jonathanvazquez@example.net,(627)571-2212x8416,IL,middle
CUST_00005,2021-06-28,medium,696,wilsonbriana@example.com,2485700504,TX,middle
CUST_00006,2021-10-24,low,797,mary31@example.net,+1-220-925-0566x08613,MO,middle
CUST_00007,2022-06-04,medium,568,jessica28@example.net,485-410-9627x299,NE,low
CUST_00008,2019-07-23,high,506,martinezrobin@example.net,395.851.0653x83420,GA,low
CUST_00009,2019-11-10,low,807,brianstewart@example.net,001-768-308-6375x7194,MI,middle
CUST_00010,2019-01-22,low,790,franklinian@example.org,(582)359-0964x81049,MD,low
CUST_00011,2019-08-23,low,744,reginald11@example.com,(871)470-2791,AZ,middle
CUST_00012,2022-06-04,low,770,alvaradotrevor@example.com,779.788.1921x335,WA,middle
CUST_00013,2022-01-11,low,685,andrewtaylor@example.com,+1-224-520-4540x1082,MA,low
CUST_00014,2022-06-17,low,724,vcoleman@example.com,+1-746-716-1388x5462,CA,middle
CUST_00015,2021-11-26,low,773,bearddiana@example.com,001-836-558-4649x852,OK,high
CUST_00016,2022-04-23,medium,550,dominicjones@example.org,385-497-3584,ID,low
CUST_00017,2021-05-25,low,681,downsjanet@example.com,+1-582-912-8310,AL,low
CUST_00018,2022-08-23,medium,743,lynchrobert@example.org,(468)973-2815,GA,middle
CUST_00019,2019-07-03,low,786,jeffreycox@example.com,2105124628,AR,low
CUST_00020,2019-10-26,medium,705,fmccormick@example.net,001-921-262-6404x368,MI,middle
CUST_00021,2022-10-21,medium,584,amber34@example.com,(277)778-9223x310,WY,low
CUST_00022,2021-01-12,low,850,lindsey96@example.com,(452)525-5072,OH,middle
CUST_00023,2019-08-10,low,644,ndennis@example.net,(912)636-7094x5832,CT,low
CUST_00024,2021-06-06,low,759,jasonperez@example.com,001-918-973-6221,ID,middle
CUST_00025,2020-09-30,low,815,calebyoung@example.net,(750)356-6219x985,ID,middle
CUST_00026,2019-03-16,low,761,trevormartinez@example.com,+1-222-590-0374x42414,OK,middle
CUST_00027,2019-07-12,low,783,carsonseth@example.net,892-263-4793x190,CO,high
CUST_00028,2022-11-21,low,761,angelajimenez@example.com,001-482-382-6407x640,NE,middle
CUST_00029,2022-05-17,medium,516,lynn02@example.net,972-225-3620x1933,NE,low
CUST_00030,2021-07-21,low,803,daniellepalmer@example.net,001-909-459-1672x78585,NJ,low
CUST_00031,2021-03-16,low,751,robertkaufman@example.org,001-428-465-6362x0407,TX,middle
CUST_00032,2019-09-02,low,730,hickscaitlin@example.com,+1-972-792-4034x749,AZ,high
CUST_00033,2020-01-19,medium,595,erinweeks@example.com,001-496-366-3054,ND,high
CUST_00034,2021-08-30,high,432,edward69@example.org,458-995-5431,TN,middle
CUST_00035,2021-05-06,low,756,meltonjoshua@example.net,+1-927-597-3886x01134,TN,middle
CUST_00036,2020-05-29,low,741,zturner@example.com,889-641-0739x07305,TX,middle
CUST_00037,2021-07-11,medium,550,connorharrison@example.com,215.626.2154x554,VA,low
CUST_00038,2022-08-24,medium,644,timothyberger@example.com,748-417-3231,AL,middle
CUST_00039,2022-02-11,low,850,wrightthomas@example.net,+1-415-726-0607,NE,middle
CUST_00040,2020-04-24,low,758,tbrown@example.net,3618662329,GA,middle
CUST_00041,2020-08-18,medium,628,toddcrystal@example.com,6835944722,MN,middle
CUST_00042,2022-12-29,low,791,xmorris@example.net,+1-710-507-8558x6846,IN,middle
CUST_00043,2022-01-18,low,743,ronaldsmith@example.org,341-462-5059x918,OH,middle
CUST_00044,2021-08-23,low,714,phernandez@example.net,520.965.8414,NM,middle
CUST_00045,2020-05-16,low,740,rjohnson@example.net,3565066954,PA,low
CUST_00046,2019-12-30,medium,710,hawkinsalicia@example.org,+1-315-613-5586x4093,NM,middle
CUST_00047,2021-01-29,medium,805,cswanson@example.net,942-908-9285x635,MO,low
CUST_00048,2021-04-19,low,737,brenda27@example.org,467-589-3486x013,GA,low
CUST_00049,2022-08-05,low,792,lopezhenry@example.com,456.378.8346,NJ,middle
CUST_00050,2019-02-03,low,684,websterleah@example.com,971-301-8066,NE,high
CUST_00051,2021-02-17,high,300,reevesdaniel@example.com,+1-203-223-9277x1627,NV,high
CUST_00052,2022-04-08,medium,568,stephenspatricia@example.com,001-549-436-4671x529,NV,high
CUST_00053,2021-05-04,medium,482,xgoodwin@example.net,882.718.9656x957,CO,middle
CUST_00054,2019-02-15,low,815,christopherwood@example.com,001-380-221-8683x62698,MA,middle
CUST_00055,2019-03-26,low,744,michellethompson@example.org,382.777.1283x65630,NH,high
CUST_00056,2019-12-30,low,795,brownalexis@example.com,+1-735-880-4061x415,RI,low
CUST_00057,2021-10-27,medium,589,marcus03@example.org,(495)728-2126,MD,middle
CUST_00058,2019-07-17,high,807,sbeltran@example.org,(964)888-9094,MN,middle
CUST_00059,2021-05-10,medium,699,rochatamara@example.com,416.235.4070x146,ME,middle
CUST_00060,2020-07-01,medium,606,michael27@example.net,446.888.8468x40829,NE,middle
CUST_00061,2022-09-01,high,548,qwebb@example.net,001-215-567-9431x6419,SC,low
CUST_00062,2020-04-04,medium,681,ashley23@example.org,001-465-733-3719x05335,ME,low
CUST_00063,2022-07-15,medium,736,alexandra35@example.com,2993878177,RI,middle
CUST_00064,2019-02-22,low,761,john44@example.com,001-379-764-7582,IN,high
CUST_00065,2020-11-04,low,822,jonesjoseph@example.net,001-956-793-1020x92671,UT,low
CUST_00066,2021-05-02,low,733,eric88@example.net,+1-260-460-2370,OR,middle
CUST_00067,2019-09-22,low,848,brooksstephanie@example.com,572-887-9404,WI,middle
